"What is a VPC in AWS?","A virtual private cloud (VPC) is a virtual network dedicated to your AWS account."
"How is a VPC analogous?","Analogous to having your own DC inside AWS."
"How is a VPC isolated in AWS?","It is logically isolated from other virtual networks in the AWS Cloud."
"What control does VPC provide?","Provides complete control over the virtual networking environment including selection of IP ranges, creation of subnets, and configuration of route tables and gateways."
"Where can you launch your AWS resources like EC2 instances?","Into your VPC."
"How do you specify a range of IPv4 addresses for a VPC?","When you create a VPC, you must specify a range of IPv4 addresses for the VPC in the form of a Classless Inter-Domain Routing (CIDR) block; for example, 10.0.0.0/16."
"What is the significance of the primary CIDR block for a VPC?","This is the primary CIDR block for your VPC."
"How many Availability Zones does a VPC span?","A VPC spans all the Availability Zones in the region."
"Who has control over the access to AWS resources inside a VPC?","You have full control over who has access to the AWS resources inside your VPC."
"When is a default VPC created in an AWS account?","When you first create your AWS account a default VPC is created for you in each AWS region."
"How many VPCs can you create per region by default?","By default you can create up to 5 VPCs per region."
"How can you ensure instances in a VPC are launched on dedicated hardware?","You can define dedicated tenancy for a VPC."
"What kind of subnets does a default VPC have?","The default VPC has all-public subnets."
"How are public subnets defined?","Public subnets are subnets that have “Auto-assign public IPv4 address” set to “Yes” and the subnet route table has an attached Internet Gateway."
"Do instances in a default VPC have both public and private IP addresses?","Yes, instances in the default VPC always have both a public and private IP address."
"How are AZs names mapped for different users?","AZs names are mapped to different zones for different users (i.e. the AZ “ap-southeast-2a” may map to a different physical zone for a different user)."
"What is a Virtual Private Cloud in AWS components?","A logically isolated virtual network in the AWS cloud where you define its IP address space from ranges you select."
"What is a Subnet in AWS VPC components?","A segment of a VPC’s IP address range where you can place groups of isolated resources (maps to an AZ, 1:1)."
"Define an Internet Gateway in AWS VPC components.","The Amazon VPC side of a connection to the public Internet."
"Define a NAT Gateway in AWS VPC components.","A highly available, managed Network Address Translation (NAT) service for your resources in a private subnet to access the Internet."
"What is a Hardware VPN Connection in AWS VPC components?","A hardware-based VPN connection between your Amazon VPC and your datacenter, home network, or co-location facility."
"Define a Virtual Private Gateway in AWS VPC components.","The Amazon VPC side of a VPN connection."
"What is a Customer Gateway in AWS VPC components?","Your side of a VPN connection."
"Define a Router in AWS VPC components.","Routers interconnect subnets and direct traffic between Internet gateways, virtual private gateways, NAT gateways, and subnets."
"Define a Peering Connection in AWS VPC components.","A peering connection enables you to route traffic via private IP addresses between two peered VPCs."
"What are VPC Endpoints in AWS VPC components?","Enables private connectivity to services hosted in AWS, from within your VPC without using an Internet Gateway, VPN, Network Address Translation (NAT) devices, or firewall proxies."
"What is an Egress-only Internet Gateway in AWS VPC components?","A stateful gateway to provide egress only access for IPv6 traffic from the VPC to the Internet."
"What are the options for securely connecting to a VPC?","AWS managed VPN, Direct Connect, VPN CloudHub, Software VPN using 3rd party software."
"What is an Elastic Network Interface (ENI)?","A logical networking component that represents a NIC. ENIs can be attached and detached from EC2 instances, and the configuration of the ENI will be maintained."
"What are Flow Logs in AWS?","Flow Logs capture information about the IP traffic going to and from network interfaces in a VPC. Flow log data is stored using Amazon CloudWatch Logs."
"At what levels can flow logs be created?","VPC, Subnet, Network interface."
"Can peering connections be created with VPCs in different regions?","Yes, peering connections can be created with VPCs in different regions."
"How do you specify the CIDR block for a subnet?","When you create a subnet, you specify the CIDR block for the subnet, which is a subset of the VPC CIDR block."
"Where must each subnet reside?","Each subnet must reside entirely within one Availability Zone and cannot span zones."
"How is a subnet known as a public subnet?","If a subnet’s traffic is routed to an internet gateway, the subnet is known as a public subnet."
"How is a subnet known as a private subnet?","If a subnet doesn’t have a route to the internet gateway, the subnet is known as a private subnet."
"How is a subnet known as a VPN-only subnet?","If a subnet doesn’t have a route to the internet gateway, but has its traffic routed to a virtual private gateway for a VPN connection, the subnet is known as a VPN-only subnet."
"What is an Internet Gateway in AWS?","An Internet Gateway is a horizontally scaled, redundant, and highly available VPC component that allows communication between instances in your VPC and the internet."
"Where do Network Access Control Lists (ACLs) provide a firewall/security layer?","At the subnet level."
"Where do Security Groups provide a firewall/security layer?","At the instance level."
"What are the differences between Security Groups and Network ACLs in terms of where they operate?","Security Group operates at the instance (interface) level, Network ACL operates at the subnet level."
"What are NAT instances?","NAT instances are managed by you, used to enable private subnet instances to access the Internet."
"How are NAT gateways different from NAT instances?","NAT gateways are managed for you by AWS, are highly available in each AZ, can scale automatically up to 45Gbps, have no need to patch, and are not associated with any security groups."
"Question","Answer"
"What is AWS Direct Connect (DX)?","AWS Direct Connect is a network service that provides an alternative to using the Internet to connect a customer’s on-premises sites to AWS."
"How is data transmitted through AWS Direct Connect?","Data is transmitted through a private network connection between AWS and a customer’s data center or corporate network."
"What are the benefits of Direct Connect?","Reduce cost when using large volumes of traffic, Increase reliability (predictable performance), Increase bandwidth (predictable bandwidth), Decrease latency."
"What can be configured with an AWS Direct Connect connection?","Each AWS Direct Connect connection can be configured with one or more virtual interfaces (VIFs)."
