"What AWS service provides on-demand compute resources?","Amazon EC2"
"Which AWS service offers pay-as-you-go pricing model?","All AWS services offer a pay-as-you-go pricing model."
"What is the AWS service that allows you to run code in response to events without managing servers?","AWS Lambda"
"What are Availability Zones in AWS?","Availability Zones are isolated locations within data center regions from which public cloud services originate and operate."
"How does Amazon S3 ensure data durability?","Amazon S3 provides data durability by automatically replicating data across multiple geographically separated servers and data centers."
"What is the AWS global network of edge locations primarily used by?","The AWS Global Network is primarily used by Amazon CloudFront to distribute content to end-users with lower latency."
"What does AWS IAM provide?","AWS IAM provides identity management and fine-grained access control for AWS resources."
"What are the benefits of using AWS?","The benefits of using AWS include cost reduction, scalability, and elasticity."
"What is a primary use case for Amazon RDS?","A primary use case for Amazon RDS is to set up, operate, and scale a relational database in the cloud."
"Which AWS service allows for the creation and management of AWS users and groups?","AWS Identity and Access Management (IAM)"
"What is the AWS service that allows you to run code in response to events without managing servers?","AWS Lambda"
"What is the primary model for pricing in AWS?","Pay-as-you-go"
"What does Amazon EC2 stand for?","Amazon Elastic Compute Cloud"
"What is Amazon S3 used for?","Amazon Simple Storage Service (S3) is used for object storage."
"Which AWS service provides a Content Delivery Network?","Amazon CloudFront"
"Name a benefit of using AWS CloudFormation.","AWS CloudFormation allows you to model and set up AWS resources so you can spend less time managing those resources and more time focusing on applications."
"In AWS, what is the shared responsibility model?","In AWS, the shared responsibility model outlines that AWS is responsible for protecting the infrastructure that runs AWS services, and the customer is responsible for securing their data and applications in the cloud."
"What is the purpose of Amazon Route 53?","Amazon Route 53 is a highly available and scalable cloud Domain Name System (DNS) web service."
"What AWS service allows you to run containers without managing servers or clusters?","AWS Fargate"
"What is AWS Lambda?","AWS Lambda is a compute service that lets you run code without provisioning or managing servers."
"How does AWS Auto Scaling help your applications?","AWS Auto Scaling automatically adjusts the number of compute resources to maintain steady, predictable performance at the lowest possible cost."
"Question","Answer"
"What AWS service provides a managed NoSQL database?","Amazon DynamoDB"
"Which AWS support plan includes a 15-minute response time for critical issues?","Enterprise Support Plan"
"What is a use case for Amazon Elastic Block Store (EBS)?","Amazon EBS provides block storage volumes for persistent data storage for use with Amazon EC2 instances."
"What service does AWS offer for real-time business analytics?","Amazon QuickSight"
"Which AWS service is intended to simplify the deployment and scalability of applications?","AWS Elastic Beanstalk"
"How does Amazon CloudWatch help AWS users?","Amazon CloudWatch provides monitoring and observability of AWS resources."
"How can Amazon S3 increase the durability of your data?","Amazon S3 stores data across multiple systems and facilities for increased durability."
"What AWS service acts as a managed message queue for microservices, distributed systems, and serverless applications?","Amazon SQS (Simple Queue Service)"
"How does Amazon RDS improve database setup and scalability?","Amazon Relational Database Service (RDS) simplifies database setup, operation, and scalability in the cloud."
"Which AWS Well-Architected Framework pillar focuses on the ability to recover from infrastructure or service disruptions?","Reliability"
"What AWS service would you use for a scalable, managed NoSQL database?","Amazon DynamoDB"
"What does AWS RDS stand for?","Amazon Relational Database Service"
"What AWS service could you use to transfer petabyte-scale data sets physically into AWS?","AWS Snowball"
"Which AWS service allows you to deploy applications on managed instances running the Docker platform?","Amazon ECS (Elastic Container Service)"
"What is the AWS tool for visually developing apps using serverless architectures?","AWS Amplify"
"What does AWS IAM stand for and what does it do?","AWS Identity and Access Management; it manages access to AWS services and resources."
"Why might you use AWS CloudTrail?","To govern, comply, and audit usage across your AWS infrastructure."
"Which service provides DNS and traffic management in AWS?","Amazon Route 53"
"Which AWS service offers a scalable platform to quickly send out notifications to users, subscribers, or other applications?","Amazon SNS (Simple Notification Service)"
"How does one achieve high availability of an application in AWS?","By deploying the application across multiple Availability Zones."
"Question","Answer"
"What is Amazon S3 Glacier, and when should you use it?","Amazon S3 Glacier is a low-cost storage service for data archiving and long-term backup. It should be used for infrequently accessed data."
"Which AWS service provides a detailed view of application performance for troubleshooting?","AWS X-Ray"
"What AWS service provides dedicated network connections from your premises to AWS?","AWS Direct Connect"
"What AWS feature enables grouping of AWS resources to organize by project, department, or cost center?","Resource tagging"
"Which AWS service offers scalable storage services, often used for backup and disaster recovery?","Amazon S3"
"What is the primary benefit of using AWS Organizations?","To manage billing, control access, compliance, and security, and apply policies across multiple AWS accounts."
"What is the function of Amazon Elasticache?","Amazon ElastiCache is a web service that makes it easy to deploy and run Memcached or Redis protocol-compliant server nodes in the cloud."
"What is the AWS service that provides a virtual server platform, allowing users to run code based on triggers?","AWS Lambda"
