"What are roles in AWS?", "Roles are created and then “assumed” by trusted entities and define a set of permissions for making AWS service requests."
"What do IAM Roles allow?", "With IAM Roles you can delegate permissions to resources for users and services without using permanent credentials (e.g. user name and password)."
"Who can assume an IAM role?", "IAM users or AWS services can assume a role to obtain temporary security credentials that can be used to make AWS API calls."
"What does 'delegating using roles' mean?", "You can delegate using roles."
"Are there any credentials associated with a role?", "There are no credentials associated with a role (password or access keys)."
"How can IAM users utilize a role?", "IAM users can temporarily assume a role to take on permissions for a specific task."
"To whom can a role be assigned?", "A role can be assigned to the federated user who signs in using an external identity provider."
"When are temporary credentials used?", "Temporary credentials are primarily used with IAM roles and automatically expire."
"How can roles be assumed?", "Roles can be assumed temporarily through the console or programmatically with the AWS CLI, Tools for Windows PowerShell, or the API."
"How do IAM roles interact with EC2 instances?", "IAM roles can be used for granting applications running on EC2 instances permissions to AWS API requests using instance profiles."
"How many roles can be assigned to an EC2 instance?", "Only one role can be assigned to an EC2 instance at a time."
"When can a role be assigned to an EC2 instance?", "A role can be assigned at the EC2 instance creation time or at any time afterwards."
"How do instance profiles function when using the AWS CLI or API?", "When using the AWS CLI or API, instance profiles must be created manually (it’s automatic and transparent through the console)."
"Where do applications retrieve temporary security credentials?", "Applications retrieve temporary security credentials from the instance metadata."
"What are the two policies to create an IAM role?", "Create an IAM role with two policies: Permissions policy – grants the user of the role the required permissions on a resource. Trust policy – specifies the trusted accounts that are allowed to assume the role."
"Can wildcards be used as a principal in IAM?", "Wildcards (*) cannot be specified as a principal."
"What are policy documents written in?", "Policy documents are written in JSON (key value pair that consists of an attribute and a value)."
"How are permissions handled by default in AWS?", "All permissions are implicitly denied by default."
"Which policy is applied when there are multiple policies?", "The most restrictive policy is applied."
"What is the purpose of the IAM policy simulator?", "The IAM policy simulator is a tool to help you understand, test, and validate the effects of access control policies."
"What can the Condition element be used for in AWS?", "The Condition element can be used to apply further conditional logic."
"How do roles, policies, and groups differ in AWS IAM?", "In AWS IAM, roles define permissions and access for third-party entities, policies define permissions for resources, and groups manage multiple users with similar permissions."
"What does the AWS STS provide?", "The AWS STS is a web service that enables you to request temporary, limited-privilege credentials for IAM users or for users that you authenticate (federated users)."
"How do temporary security credentials differ from long-term access key credentials?", "Temporary security credentials are short-term, dynamically generated, and are not stored with the user."
"What are the advantages of using AWS STS?", "Advantages of STS include not having to distribute long-term AWS security credentials, providing access without defining an AWS identity, limited credential lifetime, and credentials cannot be reused after expiry."
"Where can users come from in AWS?", "Users can come from three sources: Federation (typically AD), Federation with Mobile Apps, and Cross Account Access."
